Rainfall	Temperature	Relative_Humidity	Wind_Speed	Pressure	Evaporation	Crop_Yield
226.637	27.404	46.709	8.444	1018.647	12.396	1.392
136.544	28.324	44.489	11.074	966.337	7.609	2.292
152.156	32.946	45.012	4.613	1040.099	12.637	2.335
372.653	26.774	85.004	6.104	978.517	7.125	2.433
264.284	34.413	75.944	1.194	1034.470	6.909	3.127
327.041	25.258	89.841	1.286	1045.203	12.119	2.613
220.634	28.350	58.951	8.950	957.796	12.920	1.278
186.565	28.955	67.070	8.461	987.942	13.226	1.987
148.597	29.285	49.914	7.744	1043.794	14.228	1.377
340.008	34.969	56.892	5.267	1040.119	7.062	1.356
370.957	28.045	78.862	13.771	952.737	11.069	2.613
141.638	25.865	73.416	1.396	993.654	14.983	2.478
212.100	33.095	85.046	2.840	1037.512	8.139	1.932
357.192	27.718	72.256	12.774	1032.738	12.701	3.704
205.857	32.407	86.714	8.494	1015.124	10.260	1.938
282.794	32.506	42.789	9.642	1025.747	5.722	2.722
268.964	31.731	75.331	11.005	1036.347	9.579	1.856
176.885	30.356	42.060	1.009	1003.985	14.776	0.967
319.835	34.602	84.135	7.852	966.827	5.587	2.290
178.733	32.891	42.933	12.655	999.597	11.168	1.870
393.507	27.454	43.604	14.756	979.173	11.164	2.625
242.247	29.437	57.750	9.467	994.661	11.693	2.310
224.730	33.156	62.333	2.552	1016.612	10.650	2.246
144.289	27.154	69.964	8.343	967.103	14.159	2.354
234.168	31.923	56.494	6.676	962.101	6.437	2.409
267.456	31.604	45.819	1.313	971.780	7.741	1.846
160.662	33.995	41.179	7.932	1000.055	13.789	1.412
203.951	25.254	40.817	14.112	992.415	11.871	1.712
395.006	25.884	59.767	9.614	1042.003	6.508	3.474
341.305	31.693	44.370	12.177	957.804	12.281	1.539
347.040	27.339	45.814	1.232	987.123	11.395	2.427
398.538	34.348	77.298	7.462	986.097	10.944	2.124
167.681	25.951	63.408	10.399	966.955	12.119	2.088
371.958	31.763	54.662	13.738	1031.120	8.234	2.652
163.206	32.231	82.695	10.709	1025.675	10.924	1.734
169.303	30.388	83.862	3.191	970.720	11.825	2.560
105.935	27.048	41.599	6.823	1028.577	14.511	1.292
391.679	28.256	82.264	2.612	969.446	10.118	2.208
385.116	32.587	86.906	10.872	1000.265	11.517	3.086
172.791	33.231	53.547	12.329	1040.125	7.861	2.483
371.448	30.203	49.780	1.921	999.837	8.459	3.424
366.333	28.866	61.227	7.421	1041.051	14.705	2.853
172.471	25.299	71.638	4.004	967.579	8.953	2.094
199.350	30.545	44.751	9.781	1011.990	10.365	1.389
133.877	29.086	68.145	4.684	973.401	9.141	1.553
306.321	32.399	40.484	13.721	1025.776	9.491	2.681
286.611	33.621	46.304	14.169	1043.752	11.210	2.629
351.279	27.336	89.505	8.886	972.420	12.440	2.226
342.060	28.363	62.556	11.648	1003.269	6.305	2.212
306.004	25.436	71.011	7.821	1001.357	9.186	3.164
271.387	33.477	74.718	6.084	999.208	9.340	1.830
305.562	28.526	71.720	5.399	1016.336	8.350	2.558
187.297	28.622	79.270	3.655	970.251	11.727	2.481
336.006	29.859	57.195	11.309	1024.580	6.029	3.218
132.856	33.916	56.304	6.122	988.040	14.262	2.046
244.556	29.706	57.291	12.070	985.676	5.462	2.056
297.905	27.253	47.204	4.548	1032.429	12.652	2.260
354.819	30.511	75.690	11.203	952.230	11.599	2.183
103.650	32.125	77.318	14.832	963.990	6.992	2.101
270.055	26.466	62.201	10.747	970.927	7.747	1.878
349.305	26.762	47.317	3.498	973.622	5.471	2.038
201.084	27.833	81.988	11.633	1009.117	10.252	1.801
371.606	32.773	53.564	11.939	1029.934	11.941	1.864
102.812	34.348	77.870	7.424	992.275	5.476	1.821
177.230	30.893	60.704	2.280	1017.778	6.281	2.003
255.026	30.242	51.240	6.709	991.413	11.032	2.408
107.552	27.199	63.630	14.082	954.015	12.735	1.895
153.202	34.262	43.394	14.616	960.738	12.234	0.978
230.895	30.279	58.642	9.968	1031.969	12.450	0.871
194.628	32.983	49.493	4.701	1004.469	8.690	1.728
237.190	31.894	44.426	14.861	1037.130	9.178	2.224
338.848	27.988	85.338	3.296	1017.336	9.613	2.901
140.655	26.614	48.785	8.348	1024.064	14.453	1.398
328.203	27.432	68.648	5.417	1027.179	5.017	3.136
128.485	27.102	62.886	6.951	1039.238	12.225	2.104
